0,Datas,Emissoras,Rat,Shr
1,2010,TV BAND,2.7483,7.036
2,2010,Record TV,7.0624,18.0806
3,2010,SBT,3.6775,9.4148
4,2010,GLOBO,22.118,56.6249
5,2010,Total Ligados Especial,39.0606,100.0
6,2011,Rede Tv!,0.1282,0.3239
7,2011,TV BAND,2.4678,6.2373
8,2011,Record TV,7.0537,17.828
9,2011,SBT,4.2724,10.7985
10,2011,GLOBO,22.2863,56.3282
11,2011,Total Ligados Especial,39.5651,100.0
12,2012,Rede Tv!,0.1373,0.3606
13,2012,TV BAND,2.3229,6.1026
14,2012,Record TV,5.8124,15.2698
15,2012,SBT,4.2674,11.2108
16,2012,GLOBO,21.0197,55.2206
17,2012,Total Ligados Especial,38.0649,100.0
18,2013,Rede Tv!,0.1542,0.416
19,2013,TV BAND,2.2014,5.9375
20,2013,Record TV,4.5397,12.2441
21,2013,SBT,4.1457,11.1814
22,2013,GLOBO,18.6823,50.3879
23,2013,Total Ligados Especial,37.0771,100.0
24,2014,Rede Tv!,0.1634,0.4232
25,2014,TV BAND,1.8867,4.8863
26,2014,Record TV,4.3695,11.3163
27,2014,SBT,4.502,11.6593
28,2014,GLOBO,18.3775,47.5947
29,2014,OCP,8.103,20.9855
30,2014,Total Ligados Especial,38.6125,100.0
31,2015,Rede Tv!,0.2344,0.5581
32,2015,TV BAND,1.8981,4.5189
33,2015,Record TV,6.2209,14.8101
34,2015,SBT,6.1779,14.7078
35,2015,GLOBO,16.8756,40.1759
36,2015,OCP,8.9522,21.3126
37,2015,Total Ligados Especial,42.0042,100.0
38,2016,Rede Tv!,0.1502,0.3398
39,2016,TV BAND,1.8908,4.2765
40,2016,Record TV,7.5574,17.0926
41,2016,SBT,6.3073,14.2652
42,2016,GLOBO,17.6017,39.81
43,2016,OCP,9.3592,21.1679
44,2016,Total Ligados Especial,44.2143,100.0
45,2017,Rede Tv!,0.12,0.2648
46,2017,TV BAND,1.8824,4.1542
47,2017,Record TV,9.5251,21.0211
48,2017,SBT,7.1558,15.7922
49,2017,GLOBO,16.5117,36.4398
50,2017,OCP,7.7047,17.0035
51,2017,Total Ligados Especial,45.3122,100.0
52,2018,Rede Tv!,0.1804,0.4115
53,2018,TV BAND,1.3181,3.0058
54,2018,Record TV,10.3304,23.5586
55,2018,SBT,7.9404,18.1082
56,2018,GLOBO,14.1693,32.3133
57,2018,OCP,6.4658,14.7453
58,2018,Total Ligados Especial,43.8498,100.0
59,2019,Rede Tv!,0.1076,0.2605
60,2019,TV BAND,1.3044,3.1575
61,2019,Record TV,9.8604,23.8683
62,2019,SBT,6.9498,16.8228
63,2019,GLOBO,12.8755,31.1666
64,2019,OCP,5.1376,12.4363
65,2019,Total Ligados Especial,41.3118,100.0
66,2020,Rede Tv!,0.0456,0.104
67,2020,TV BAND,1.0622,2.4222
68,2020,Record TV,8.9136,20.3263
69,2020,SBT,4.8289,11.0117
70,2020,GLOBO,14.4084,32.8564
71,2020,OCP,4.0903,9.3275
72,2020,Total Ligados Especial,43.8526,100.0
73,2021,Rede Tv!,0.0623,0.1434
74,2021,TV BAND,1.0413,2.3962
75,2021,Record TV,9.672,22.257
76,2021,SBT,3.7338,8.5923
77,2021,TVE BAHIA,0.302,0.6951
78,2021,GLOBO,13.3654,30.7563
79,2021,OCP,3.1261,7.1937
80,2021,Total Ligados Especial,43.4558,100.0
81,2022,Rede Tv!,0.0264,0.0648
82,2022,TV BAND,0.9329,2.2936
83,2022,Record TV,7.5487,18.5582
84,2022,SBT,3.4449,8.4693
85,2022,TVE BAHIA,0.4285,1.0534
86,2022,GLOBO,14.1019,34.6691
87,2022,OCP,2.007,4.9343
88,2022,Total Ligados Especial,40.6757,100.0
89,2023,Rede Tv!,0.0221,0.0529
90,2023,TV BAND,0.9621,2.3083
91,2023,Record TV,8.017,19.2359
92,2023,SBT,3.1285,7.5065
93,2023,TVE BAHIA,0.585,1.4037
94,2023,GLOBO,15.6225,37.4842
95,2023,OCP,1.8265,4.3825
96,2023,Total Ligados Especial,41.6775,100.0
